名前,父,母
モーリス,スクリーンヒーロー,メジロフランシス
スクリーンヒーロー,グラスワンダー,ランニングヒロイン
グラスワンダー,Silver Hawk,Ameriflora
Silver Hawk,Roberto,Gris Vitesse
Roberto,Hail to Reason,Bramalea
Gris Vitesse,Amerigo,Matchiche
Ameriflora,Danzig,Graceful Touch
Danzig,Northern Dancer,Pas de Nom
Graceful Touch,His Majesty,Pi Phi Gal
ランニングヒロイン,サンデーサイレンス,ダイナアクトレス
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
ダイナアクトレス,ノーザンテースト,モデルスポート
ノーザンテースト,Northern Dancer,Lady Victoria
モデルスポート,モデルフール,マジックゴデイス
メジロフランシス,カーネギー,メジロモントレー
カーネギー,Sadler's Wells,Detroit
Sadler's Wells,Northern Dancer,Fairy Bridge
Northern Dancer,Nearctic,Natalma
Fairy Bridge,Bold Reason,Special
Detroit,Riverman,Derna
Riverman,Never Bend,River Lady
Derna,Sunny Boy,Miss Barberie
メジロモントレー,モガミ,メジロクインシー
モガミ,Lyphard,ノーラック
Lyphard,Northern Dancer,Goofed
ノーラック,Lucky Debonair,No Teasing
メジロクインシー,フィディオン,メジロボサツ
フィディオン,Djakao,Thessalie
メジロボサツ,モンタヴァル,メジロクイン
