名前,父,母
ヤエノムテキ,ヤマニンスキー,ツルミスター
ヤマニンスキー,Nijinsky,アンメンシヨナブル
Nijinsky,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Flaming Page,Bull Page,Flaring Top
Bull Page,Bull Lea,Our Page
Flaring Top,Menow,Flaming Top
アンメンシヨナブル,Buckpasser,Petticoat
Buckpasser,Tom Fool,Busanda
Tom Fool,Menow,Gaga
Busanda,War Admiral,Businesslike
Petticoat,Palestinian,Sabana
Palestinian,Sun Again,Dolly Whisk
Sabana,Bryan G.,Satsuma
ツルミスター,イエローゴッド,フジコウ
イエローゴッド,Red God,Sally Deans
Red God,Nasrullah,Spring Run
Nasrullah,Nearco,Mumtaz Begum
Spring Run,Menow,Boola Brook
Sally Deans,Fun Fair,Cora Deans
Fun Fair,Fair Trial,Humoresque
Cora Deans,Coronach,Jennie Deans
フジコウ,ソロナウェー,ハマミドリ
ソロナウェー,Solferino,Anyway
Solferino,Fairway,Sol Speranza
Anyway,Grand Glacier,The Widow Murphy
ハマミドリ,トサミドリ,フジサカエ
トサミドリ,プリメロ,フリツパンシー
フジサカエ,トキノチカラ,第三ハンナー
