名前,父,母
ユキノビジン,サクラユタカオー,ファティマ
サクラユタカオー,テスコボーイ,アンジェリカ
テスコボーイ,Princely Gift,Suncourt
Princely Gift,Nasrullah,Blue Gem
Nasrullah,Nearco,Mumtaz Begum
Blue Gem,Blue Peter,Sparkle
Suncourt,Hyperion,Inquisition
Hyperion,Gainsborough,Selene
Inquisition,Dastur,Jury
アンジェリカ,ネヴァービート,スターハイネス
ネヴァービート,Never Say Die,Bride Elect
Never Say Die,Nasrullah,Singing Grass
Bride Elect,Big Game,Netherton Maid
スターハイネス,ユアハイネス,スターロツチ
ユアハイネス,Chamossaire,Lady Grand
スターロツチ,ハロウエー,コロナ
ファティマ,ロイヤルスキー,ビューティワン
ロイヤルスキー,Raja Baba,Coz o'Nijinsky
Raja Baba,Bold Ruler,Missy Baba
Bold Ruler,Nasrullah,Miss Disco
Missy Baba,My Babu,Uvira
Coz o'Nijinsky,Involvement,Gleam
Involvement,Intent,Lea Lane
Gleam,Tournoi,Flaring Top
ビューティワン,ダッパーダン,ミスジェーン
ダッパーダン,Ribot,So Chic
Ribot,Tenerani,Romanella
So Chic,Nasrullah,Striking
ミスジェーン,リンボー,ジエーン
リンボー,War Admiral,Boojie
ジエーン,クモハタ,ペツトネーシヨン
