名前,父,母
ラインクラフト,エンドスウィープ,マストビーラヴド
エンドスウィープ,フォーティナイナー,Broom Dance
フォーティナイナー,Mr. Prospector,File
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
File,Tom Rolfe,Continue
Tom Rolfe,Ribot,Pocahontas
Continue,Double Jay,Courtesy
Broom Dance,Dance Spell,Witching Hour
Dance Spell,Northern Dancer,Obeah
Northern Dancer,Nearctic,Natalma
Obeah,Cyane,Book of Verse
Witching Hour,Thinking Cap,Enchanted Eve
Thinking Cap,Rosemont,Camargo
Enchanted Eve,Lovely Night,Poupee
マストビーラヴド,サンデーサイレンス,ダイナシュート
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ダイナシュート,ノーザンテースト,シヤダイマイン
ノーザンテースト,Northern Dancer,Lady Victoria
Lady Victoria,Victoria Park,Lady Angela
シヤダイマイン,ヒッティングアウェー,ファンシミン
ヒッティングアウェー,Ambiorix,Striking
ファンシミン,Determine,Fanciful Miss
