名前,父,母
リアルシャダイ,Roberto,Desert Vixen
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Source Sucree,Admiral Drake,Lavendula
Nothirdchance,Blue Swords,Galla Colors
Blue Swords,Blue Larkspur,Flaming Swords
Galla Colors,Sir Gallahad,Rouge et Noir
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Nasrullah,Nearco,Mumtaz Begum
Segula,Johnstown,Sekhmet
Rarelea,Bull Lea,Bleebok
Bull Lea,Bull Dog,Rose Leaves
Bleebok,Blue Larkspur,Forteresse
Desert Vixen,In Reality,Desert Trial
In Reality,Intentionally,My Dear Girl
Intentionally,Intent,My Recipe
Intent,War Relic,Liz F.
My Recipe,Discovery,Perlette
My Dear Girl,Rough'n Tumble,Iltis
Rough'n Tumble,Free For All,Roused
Iltis,War Relic,We Hail
Desert Trial,Moslem Chief,Scotch Verdict
Moslem Chief,Alibhai,Up the Hill
Alibhai,Hyperion,Teresina
Up the Hill,Jacopo,Gentle Tryst
Scotch Verdict,Alsab,Glen Arvis
Alsab,Good Goods,Winds Chant
Glen Arvis,Attention,Helen Gleason
