名前,父,母
ルーラーシップ,キングカメハメハ,エアグルーヴ
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
Miesque,Nureyev,Pasadoble
Nureyev,Northern Dancer,Special
Pasadoble,Prove Out,Santa Quilla
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
トライマイベスト,Northern Dancer,Sex Appeal
Mill Princess,Mill Reef,Irish Lass
Pilot Bird,Blakeney,The Dancer
Blakeney,Hethersett,Windmill Girl
The Dancer,Green Dancer,Khazaeen
エアグルーヴ,トニービン,ダイナカール
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Kalamoun,ゼダーン,Khairunissa
State Pension,オンリーフォアライフ,Lorelei
Severn Bridge,Hornbeam,Priddy Fair
Hornbeam,Hyperion,Thicket
Priddy Fair,Preciptic,Campanette
ダイナカール,ノーザンテースト,シャダイフェザー
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Lady Victoria,Victoria Park,Lady Angela
シャダイフェザー,ガーサント,パロクサイド
ガーサント,Bubbles,Montagnana
パロクサイド,Never Say Die,Feather Ball
