名前,父,母
ワンダーアキュート,カリズマティック,ワンダーヘリテージ
カリズマティック,Summer Squall,Bali Babe
Summer Squall,Storm Bird,Weekend Surprise
Storm Bird,Northern Dancer,South Ocean
Northern Dancer,Nearctic,Natalma
South Ocean,New Providence,Shining Sun
Weekend Surprise,Secretariat,Lassie Dear
Secretariat,Bold Ruler,Somethingroyal
Lassie Dear,Buckpasser,Gay Missile
Bali Babe,Drone,Polynesian Charm
Drone,Sir Gaylord,Cap and Bells
Sir Gaylord,Turn-to,Somethingroyal
Cap and Bells,Tom Fool,Ghazni
Polynesian Charm,What a Pleasure,Grass Shack
What a Pleasure,Bold Ruler,Grey Flight
Grass Shack,Polynesian,Good Example
ワンダーヘリテージ,Pleasant Tap,Casa Petrone
Pleasant Tap,Pleasant Colony,Never Knock
Pleasant Colony,His Majesty,Sun Colony
His Majesty,Ribot,Flower Bowl
Sun Colony,Sunrise Flight,Colonia
Never Knock,Stage Door Johnny,Never Hula
Stage Door Johnny,Prince John,Peroxide Blonde
Never Hula,Never Bend,Hula Hula
Casa Petrone,Petrone,Grand Tania
Petrone,Prince Taj,Wild Miss
Prince Taj,Prince Bio,Malindi
Wild Miss,Wild Risk,Salome
Grand Tania,Grand Central,Good Hart
Grand Central,Hasty Road,Aunt Jinny
Good Hart,Creme dela Creme,Secret Retreat
