名前,父,母
ヴィブロス,ディープインパクト,ハルーワスウィート
ディープインパクト,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Lyphard,Northern Dancer,Goofed
Lady Rebecca,Sir Ivor,Pocahontas
Burghclere,Busted,Highclere
Busted,Crepello,Sans le Sou
Highclere,Queen's Hussar,Highlight
ハルーワスウィート,Machiavellian,ハルーワソング
Machiavellian,Mr. Prospector,Coup de Folie
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
Coup de Folie,Halo,Raise the Standard
Raise the Standard,Hoist the Flag,Natalma
ハルーワソング,Nureyev,Morn of Song
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Morn of Song,Blushing Groom,Glorious Song
Blushing Groom,Red God,Runaway Bride
Glorious Song,Halo,Ballade
