名前,父,母
風玲,ライジングフレーム,梅城
ライジングフレーム,The Phoenix,Admirable
The Phoenix,Chateau Bouscaut,Fille de Poete
Chateau Bouscaut,Kircubbin,Ramondie
Kircubbin,Captivation,Avon Hack
Ramondie,Neil Gow,La Rille
Fille de Poete,Firdaussi,Fille d'Amour
Firdaussi,Pharos,Brownhylda
Fille d'Amour,Hurry On,Friar's Daughter
Admirable,Nearco,Silvia
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Nogara,Havresac,Catnip
Silvia,Craig an Eran,Angela
Craig an Eran,Sunstar,Maid of the Mist
Angela,Lomond,La Danseuse
梅城,ダイオライト,月城
ダイオライト,Diophon,Needle Rock
Diophon,Grand Parade,Donnetta
Grand Parade,Orby,Grand Geraldine
Donnetta,Donovan,Rinovata
Needle Rock,Rock Sand,Needlepoint
Rock Sand,Sainfoin,Roquebrune
Needlepoint,Isinglass,Etui
月城,Campfire,星旗
Campfire,Olambala,Nightfall
Olambala,Ornus,Blue and White
Nightfall,Voter,Sundown
星旗,Gnome,Tuscan Maiden
Gnome,Whisk Broom,Fairy Sprite
Tuscan Maiden,Maiden Erlegh,Tuscan Red
